age,workclass,education,marital-status,occupation,race,gender,hours-per-week,native-country,income
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,20,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,20,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,15,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,35,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,16,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,10,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,20,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,20,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,20,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,16,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,16,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,20,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,30,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,6,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,12,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,35,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,15,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,36,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,15,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,15,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,30,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,25,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,20,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,16,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,10,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,20,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,35,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,4,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,15,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,16,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,30,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,35,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Female,15,Very High,<=50K
"[29, 41[",*,"{11th, 12th}",*,*,*,Female,38,Very High,<=50K
"[29, 41[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[29, 41[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[29, 41[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[29, 41[",*,"{11th, 12th}",*,*,*,Female,32,Very High,<=50K
"[29, 41[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[29, 41[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[29, 41[",*,"{11th, 12th}",*,*,*,Female,19,Very High,<=50K
"[29, 41[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[29, 41[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[41, 53[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[41, 53[",*,"{11th, 12th}",*,*,*,Female,40,Very High,>50K
"[41, 53[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[41, 53[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[41, 53[",*,"{11th, 12th}",*,*,*,Female,36,Very High,<=50K
"[41, 53[",*,"{11th, 12th}",*,*,*,Female,10,Very High,<=50K
"[41, 53[",*,"{11th, 12th}",*,*,*,Female,36,Very High,>50K
"[53, 65[",*,"{11th, 12th}",*,*,*,Female,35,Very High,<=50K
"[53, 65[",*,"{11th, 12th}",*,*,*,Female,35,Very High,<=50K
"[53, 65[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[53, 65[",*,"{11th, 12th}",*,*,*,Female,30,Very High,<=50K
"[53, 65[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[53, 65[",*,"{11th, 12th}",*,*,*,Female,47,Very High,<=50K
"[53, 65[",*,"{11th, 12th}",*,*,*,Female,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,30,High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,15,High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,50,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,15,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,25,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,35,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,45,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,50,Very High,>50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,18,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,15,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,12,Very High,<=50K
"[17, 29[",*,"{11th, 12th}",*,*,*,Male,40,Very High,<=50K
